 1.25174400e-10  1.80000000e+00  1.25174400e-10  1.79691648e+00 
 1.27174400e-10  1.80000000e+00  1.27174400e-10  1.79704648e+00 
 1.29174400e-10  1.80000000e+00  1.29174400e-10  1.79717670e+00 
 1.31174400e-10  1.80000000e+00  1.31174400e-10  1.79728637e+00 
 1.33174400e-10  1.80000000e+00  1.33174400e-10  1.79739823e+00 
 1.35174400e-10  1.80000000e+00  1.35174400e-10  1.79749190e+00 
 1.37174400e-10  1.80000000e+00  1.37174400e-10  1.79758911e+00 
 1.39174400e-10  1.80000000e+00  1.39174400e-10  1.79766996e+00 
 1.41174400e-10  1.80000000e+00  1.41174400e-10  1.79775529e+00 
 1.43174400e-10  1.80000000e+00  1.43174400e-10  1.79782571e+00 
 1.45174400e-10  1.80000000e+00  1.45174400e-10  1.79790125e+00 
 1.47174400e-10  1.80000000e+00  1.47174400e-10  1.79796309e+00 
 1.49174400e-10  1.80000000e+00  1.49174400e-10  1.79803047e+00 
 1.51174400e-10  1.80000000e+00  1.51174400e-10  1.79808513e+00 
 1.53174400e-10  1.80000000e+00  1.53174400e-10  1.79814563e+00 
 1.55174400e-10  1.80000000e+00  1.55174400e-10  1.79819426e+00 
 1.57174400e-10  1.80000000e+00  1.57174400e-10  1.79824890e+00 
 1.59174400e-10  1.80000000e+00  1.59174400e-10  1.79829239e+00 
 1.60000000e-10  1.80000000e+00  1.60000000e-10  1.79831555e+00 
